label,count,category,method,confidence,details
age,73415,Biospecimen Age,keyword,HIGH,exact_match: age
time,17068,Biospecimen Age,keyword,HIGH,exact_match: time
time point,12459,Biospecimen Age,keyword,HIGH,exact_match: time
timepoint,9424,Biospecimen Age,keyword,MEDIUM,keyword: timepoint
developmental stage,5106,Biospecimen Age,keyword,MEDIUM,keyword: developmental stage
Stage,4189,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
day,3722,Biospecimen Age,keyword,HIGH,exact_match: day
agent,3539,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
age in years,2898,Biospecimen Age,keyword,HIGH,exact_match: age
experiment,1725,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.769)
Age,1662,Biospecimen Age,keyword,HIGH,exact_match: age
datatype description,1606,Biospecimen Age,similarity,MEDIUM,Similar to: age description (score: 0.800)
passage,1586,Biospecimen Age,keyword,MEDIUM,keyword: passage
collection_method,1517,Biospecimen Age,similarity,MEDIUM,Similar to: collection time (score: 0.750)
tumor stage,1390,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
tag,1317,Biospecimen Age,similarity,MEDIUM,Similar to: stage (score: 0.750)
culture,1264,Biospecimen Age,similarity,MEDIUM,Similar to: culture age (score: 0.778)
clinical status,1187,Biospecimen Age,similarity,MEDIUM,Similar to: clinical stage (score: 0.828)
passages,1138,Biospecimen Age,keyword,MEDIUM,keyword: passage
fraction,1003,Biospecimen Age,similarity,MEDIUM,Similar to: age fraction (score: 0.800)
lab description,997,Biospecimen Age,similarity,MEDIUM,Similar to: age description (score: 0.867)
development stage,897,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
age_onset,876,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
survival_yr,876,Biospecimen Age,similarity,MEDIUM,Similar to: survival year (score: 0.833)
age description,839,Biospecimen Age,keyword,HIGH,exact_match: age
disease stage,804,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
treatment time,775,Biospecimen Age,keyword,HIGH,exact_match: time
age group,642,Biospecimen Age,keyword,HIGH,exact_match: age
infection time,635,Biospecimen Age,keyword,HIGH,exact_match: time
year,633,Biospecimen Age,keyword,HIGH,exact_match: year
passage_if_expanded,572,Biospecimen Age,keyword,MEDIUM,keyword: passage
growth phase,558,Biospecimen Age,similarity,MEDIUM,Similar to: growth stage (score: 0.750)
doubling time,553,Biospecimen Age,keyword,HIGH,exact_match: time
case,551,Biospecimen Age,similarity,MEDIUM,Similar to: cage (score: 0.750)
infectious agent,546,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
collection time point,533,Biospecimen Age,keyword,HIGH,exact_match: time
age_weeks,500,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
age_at_draw,500,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
time harvest,500,Biospecimen Age,keyword,HIGH,exact_match: time
sampling time_point_label,500,Biospecimen Age,keyword,LOW,pattern: .*time.*
time_to_malaria,500,Biospecimen Age,keyword,LOW,pattern: .*time.*
reagent,500,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
age of enrollment,500,Biospecimen Age,keyword,HIGH,exact_match: age
days_in_hospital,500,Biospecimen Age,keyword,LOW,pattern: .*day.*
age_at_diagnosis,500,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
age of onset of persistent ps aer or censored age,500,Biospecimen Age,keyword,HIGH,exact_match: age
days since vaccine,500,Biospecimen Age,keyword,LOW,pattern: .*day.*
dev_stage,500,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
date harvest,500,Biospecimen Age,similarity,MEDIUM,Similar to: time harvest (score: 0.833)
surgery number,500,Biospecimen Age,similarity,MEDIUM,Similar to: usage number (score: 0.769)
age_at_death_years,492,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
passage number,485,Biospecimen Age,keyword,MEDIUM,keyword: passage
survival,444,Biospecimen Age,similarity,MEDIUM,Similar to: survival time (score: 0.762)
time.from.exposure.months,434,Biospecimen Age,keyword,LOW,pattern: .*time.*
day of trial,399,Biospecimen Age,keyword,HIGH,exact_match: day
day post infection,391,Biospecimen Age,keyword,HIGH,exact_match: day
age at death,387,Biospecimen Age,keyword,HIGH,exact_match: age
days since vaccination,387,Biospecimen Age,keyword,LOW,pattern: .*day.*
induction date,385,Biospecimen Age,similarity,MEDIUM,Similar to: induction time (score: 0.857)
sampling timepoint,383,Biospecimen Age,keyword,MEDIUM,keyword: timepoint
exposure,381,Biospecimen Age,similarity,MEDIUM,Similar to: exposure time (score: 0.762)
birth date,374,Biospecimen Age,llm,HIGH,"Birth date is used to calculate age, which fits well with the Biospecimen Age category."
gold stage,366,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
year of surgery,363,Biospecimen Age,keyword,HIGH,exact_match: year
age in year,362,Biospecimen Age,keyword,HIGH,exact_match: age
days of differentiation,353,Biospecimen Age,keyword,LOW,pattern: .*day.*
age at_treatment,353,Biospecimen Age,keyword,HIGH,exact_match: age
treatment age_group,353,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
culture type,334,Biospecimen Age,similarity,MEDIUM,Similar to: culture time (score: 0.833)
follow up years,332,Biospecimen Age,llm,HIGH,"Refers to the time period of follow-up, which is related to the age of the biospecimen"
animal age,330,Biospecimen Age,keyword,HIGH,exact_match: age
treatment/time point,328,Biospecimen Age,keyword,MEDIUM,keyword: time point
dosage,319,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
week,317,Biospecimen Age,keyword,HIGH,exact_match: week
osteogenesis day,317,Biospecimen Age,keyword,HIGH,exact_match: day
timepoint_months,313,Biospecimen Age,keyword,MEDIUM,keyword: timepoint
development,310,Biospecimen Age,similarity,MEDIUM,Similar to: development stage (score: 0.786)
InitialTimePoint,300,Biospecimen Age,keyword,MEDIUM,keyword: timepoint
category,296,Biospecimen Age,similarity,MEDIUM,Similar to: age_category (score: 0.800)
experiment type,295,Biospecimen Age,similarity,MEDIUM,Similar to: experimental day (score: 0.774)
description,294,Biospecimen Age,similarity,MEDIUM,Similar to: age description (score: 0.846)
age at diagnosis,291,Biospecimen Age,keyword,HIGH,exact_match: age
path.stage,286,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
differentiation stage,286,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
description of day,275,Biospecimen Age,keyword,HIGH,exact_match: day
differentiation day,270,Biospecimen Age,keyword,HIGH,exact_match: day
day_of_euthanasia,268,Biospecimen Age,keyword,LOW,pattern: .*day.*
visit day,265,Biospecimen Age,keyword,HIGH,exact_match: day
age_diagnosis_years,245,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
age of onset,240,Biospecimen Age,keyword,HIGH,exact_match: age
Tumor stage,226,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
TimeUnit,225,Biospecimen Age,keyword,LOW,pattern: .*time.*
sorter day,224,Biospecimen Age,keyword,HIGH,exact_match: day
state,214,Biospecimen Age,similarity,MEDIUM,Similar to: stage (score: 0.800)
art start year,212,Biospecimen Age,keyword,HIGH,exact_match: year
sampling_timepoint,208,Biospecimen Age,keyword,MEDIUM,keyword: timepoint
time post-stimulation,207,Biospecimen Age,keyword,HIGH,exact_match: time
differentiation batch,207,Biospecimen Age,similarity,MEDIUM,Similar to: differentiation day (score: 0.850)
developmental_stage,204,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
days_symptom_onset,201,Biospecimen Age,keyword,LOW,pattern: .*day.*
overall.survival..days,200,Biospecimen Age,keyword,LOW,pattern: .*day.*
sampling time,199,Biospecimen Age,keyword,HIGH,exact_match: time
time_since_onset,198,Biospecimen Age,keyword,LOW,pattern: .*time.*
ga,194,Biospecimen Age,llm,MEDIUM,GA is likely an abbreviation for Gestational Age
growth medium,193,Biospecimen Age,similarity,MEDIUM,Similar to: growth time (score: 0.750)
hours,186,Biospecimen Age,llm,MEDIUM,"This label could refer to the age of a biospecimen in hours, such as the time elapsed since collection."
stimulation time and condition,182,Biospecimen Age,keyword,HIGH,exact_match: time
age at_diagnosis,177,Biospecimen Age,keyword,HIGH,exact_match: age
dev stage,177,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
lineage,176,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
day of differentiation,174,Biospecimen Age,keyword,HIGH,exact_match: day
Cause of death,172,Biospecimen Age,similarity,MEDIUM,Similar to: age of death (score: 0.846)
survival time,170,Biospecimen Age,keyword,HIGH,exact_match: time
survival cluster,170,Biospecimen Age,similarity,MEDIUM,Similar to: survival time (score: 0.759)
differentiation,169,Biospecimen Age,similarity,MEDIUM,Similar to: differentiation day (score: 0.882)
overall.survival.months,168,Biospecimen Age,similarity,MEDIUM,Similar to: overall.survival.time (score: 0.818)
days post drug,164,Biospecimen Age,keyword,LOW,pattern: .*day.*
collection time point (#) or necropsy,162,Biospecimen Age,keyword,HIGH,exact_match: time
parasite stage,160,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
time-point,158,Biospecimen Age,keyword,LOW,pattern: .*time.*
days after infection,156,Biospecimen Age,keyword,LOW,pattern: .*day.*
os_month,156,Biospecimen Age,similarity,MEDIUM,Similar to: os month (score: 0.875)
differentiation_stage,152,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
differentiation_method,152,Biospecimen Age,similarity,MEDIUM,Similar to: differentiation_age (score: 0.829)
cage,151,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
age.days,151,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
infection.time.point.days,151,Biospecimen Age,keyword,LOW,pattern: .*day.*
embryonic stage,150,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
excision year,149,Biospecimen Age,keyword,HIGH,exact_match: year
time points,144,Biospecimen Age,keyword,HIGH,exact_match: time
cag,140,Biospecimen Age,similarity,MEDIUM,Similar to: cage (score: 0.857)
Time,132,Biospecimen Age,keyword,HIGH,exact_match: time
ventilator-free days,126,Biospecimen Age,keyword,LOW,pattern: .*day.*
day-post-infection,123,Biospecimen Age,keyword,LOW,pattern: .*day.*
time post infection,121,Biospecimen Age,keyword,HIGH,exact_match: time
day after seeding,118,Biospecimen Age,keyword,HIGH,exact_match: day
os month,116,Biospecimen Age,keyword,HIGH,exact_match: month
day of_tumor_harvest,116,Biospecimen Age,keyword,HIGH,exact_match: day
infection agent,116,Biospecimen Age,keyword,MEDIUM,pattern: .*age.*
culture media,116,Biospecimen Age,similarity,MEDIUM,Similar to: culture days (score: 0.800)
harvesting time,115,Biospecimen Age,keyword,HIGH,exact_match: time
